2024-08-03 11:37:31.211 | INFO     | tabularbench.core.run_experiment:run_experiment:24 - Start experiment on analcatdata_authorship (id=3549) with AutoGluon doing classification
2024-08-03 11:37:31.213 | INFO     | tabularbench.core.run_experiment:run_experiment:27 - Set seed to 0
2024-08-03 11:37:31.214 | INFO     | tabularbench.core.run_experiment:run_experiment:29 - We are using the following hyperparameters:
2024-08-03 11:37:31.214 | INFO     | tabularbench.core.run_experiment:run_experiment:31 -     time_limit: 3600
2024-08-03 11:37:31.214 | INFO     | tabularbench.core.run_experiment:run_experiment:31 -     num_cpus: 8
2024-08-03 11:37:31.393 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 1/10 of analcatdata_authorship (id=3549) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:37:46.272 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_0 :: train: 0.9985, val: 1.0000, test: 0.9882
2024-08-03 11:37:46.420 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 2/10 of analcatdata_authorship (id=3549) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:38:00.817 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_1 :: train: 1.0000, val: 0.9643, test: 0.9881
2024-08-03 11:38:00.966 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 3/10 of analcatdata_authorship (id=3549) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:38:15.034 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_2 :: train: 1.0000, val: 0.9762, test: 1.0000
2024-08-03 11:38:15.259 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 4/10 of analcatdata_authorship (id=3549) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:38:28.799 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_3 :: train: 0.9985, val: 0.9881, test: 0.9643
