2024-08-03 11:04:22.031 | INFO     | tabularbench.core.run_experiment:run_experiment:24 - Start experiment on Click_prediction_small (id=190408) with AutoGluon doing classification
2024-08-03 11:04:22.033 | INFO     | tabularbench.core.run_experiment:run_experiment:27 - Set seed to 0
2024-08-03 11:04:22.033 | INFO     | tabularbench.core.run_experiment:run_experiment:29 - We are using the following hyperparameters:
2024-08-03 11:04:22.033 | INFO     | tabularbench.core.run_experiment:run_experiment:31 -     time_limit: 3600
2024-08-03 11:04:22.033 | INFO     | tabularbench.core.run_experiment:run_experiment:31 -     num_cpus: 8
2024-08-03 11:04:22.107 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 1/10 of Click_prediction_small (id=190408) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:05:16.187 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_0 :: train: 0.8457, val: 0.8416, test: 0.8373
2024-08-03 11:05:16.236 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 2/10 of Click_prediction_small (id=190408) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:06:17.800 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_1 :: train: 0.8779, val: 0.8375, test: 0.8401
2024-08-03 11:06:17.839 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 3/10 of Click_prediction_small (id=190408) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:07:20.934 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_2 :: train: 0.8563, val: 0.8375, test: 0.8398
2024-08-03 11:07:20.977 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 4/10 of Click_prediction_small (id=190408) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:08:14.786 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_3 :: train: 0.8506, val: 0.8378, test: 0.8380
2024-08-03 11:08:14.835 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 5/10 of Click_prediction_small (id=190408) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:09:08.367 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_4 :: train: 0.8561, val: 0.8383, test: 0.8360
2024-08-03 11:09:08.412 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 6/10 of Click_prediction_small (id=190408) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:10:06.044 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_5 :: train: 0.9147, val: 0.8330, test: 0.8383
2024-08-03 11:10:06.112 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 7/10 of Click_prediction_small (id=190408) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:11:14.094 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_6 :: train: 0.8489, val: 0.8360, test: 0.8343
2024-08-03 11:11:14.147 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 8/10 of Click_prediction_small (id=190408) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:12:11.126 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_7 :: train: 0.8526, val: 0.8348, test: 0.8358
2024-08-03 11:12:11.186 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 9/10 of Click_prediction_small (id=190408) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:13:09.697 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_8 :: train: 0.8507, val: 0.8378, test: 0.8358
2024-08-03 11:13:09.743 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 10/10 of Click_prediction_small (id=190408) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:14:06.032 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_9 :: train: 0.8502, val: 0.8353, test: 0.8370
2024-08-03 11:14:06.035 | INFO     | tabularbench.core.run_experiment:run_experiment:42 - Finished experiment on Click_prediction_small (id=190408) with AutoGluon doing CLASSIFICATION
2024-08-03 11:14:06.036 | INFO     | tabularbench.core.run_experiment:run_experiment:43 - Final scores: 
2024-08-03 11:14:06.037 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_0 :: train: 0.8457, val: 0.8416, test: 0.8373
2024-08-03 11:14:06.038 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_1 :: train: 0.8779, val: 0.8375, test: 0.8401
2024-08-03 11:14:06.039 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_2 :: train: 0.8563, val: 0.8375, test: 0.8398
2024-08-03 11:14:06.040 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_3 :: train: 0.8506, val: 0.8378, test: 0.8380
2024-08-03 11:14:06.041 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_4 :: train: 0.8561, val: 0.8383, test: 0.8360
2024-08-03 11:14:06.042 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_5 :: train: 0.9147, val: 0.8330, test: 0.8383
2024-08-03 11:14:06.043 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_6 :: train: 0.8489, val: 0.8360, test: 0.8343
2024-08-03 11:14:06.044 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_7 :: train: 0.8526, val: 0.8348, test: 0.8358
2024-08-03 11:14:06.045 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_8 :: train: 0.8507, val: 0.8378, test: 0.8358
2024-08-03 11:14:06.046 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_9 :: train: 0.8502, val: 0.8353, test: 0.8370
2024-08-03 11:14:06.048 | INFO     | tabularbench.core.run_experiment:run_experiment:53 - cv_average :: train: 0.8604, val: 0.8370, test: 0.8372
