2024-04-28 16:38:24.451 | INFO     | __main__:main:25 - Finished creating main config
2024-04-28 16:38:24.452 | DEBUG    | __main__:check_existence_of_benchmark_results_csv:50 - Found data/reformatted_results_whytrees.nc
2024-04-28 16:38:24.452 | DEBUG    | __main__:check_existence_of_benchmark_results_csv:56 - Found data/reformatted_results_tabzilla.nc
2024-04-28 16:38:24.465 | INFO     | __main__:main:34 - Start benchmark sweep for categorical_classification
2024-04-28 16:38:24.465 | INFO     | tabularbench.sweeps.run_sweep:run_sweep:23 - Start default search for Foundation on categorical_classification
2024-04-28 16:38:24.470 | INFO     | tabularbench.sweeps.run_sweep:log_ignore_datasets:226 - All openml datasets in the benchmark will be used, non ignored
2024-04-28 16:38:27.869 | INFO     | tabularbench.sweeps.run_sweep:main_loop:91 - Currently, 0 runs are busy and 0 runs have been attempted
2024-04-28 16:38:27.931 | INFO     | tabularbench.sweeps.run_sweep:main_loop:109 - Start default run for Foundation on categorical_classification with dataset road-safety (id=45038)
2024-04-28 16:39:04.586 | INFO     | tabularbench.sweeps.run_sweep:main_loop:116 - A free device cuda:5 is found and grabbed
2024-04-28 16:39:04.591 | INFO     | tabularbench.sweeps.run_sweep:main_loop:91 - Currently, 0 runs are busy and 1 runs have been attempted
2024-04-28 16:39:04.627 | INFO     | tabularbench.sweeps.run_sweep:main_loop:109 - Start default run for Foundation on categorical_classification with dataset road-safety (id=45038)
2024-04-28 16:39:04.694 | INFO     | tabularbench.results.results_sweep:save:39 - Saved results (1 runs total) to outputs/2024-04-28/16-38-24/foundation-default-categorical_classification/results_sweep.nc
2024-04-28 16:39:43.170 | INFO     | tabularbench.sweeps.run_sweep:main_loop:116 - A free device cuda:5 is found and grabbed
2024-04-28 16:39:43.176 | INFO     | tabularbench.sweeps.run_sweep:main_loop:91 - Currently, 0 runs are busy and 2 runs have been attempted
2024-04-28 16:39:43.253 | INFO     | tabularbench.sweeps.run_sweep:main_loop:109 - Start default run for Foundation on categorical_classification with dataset covertype (id=44159)
