2024-08-09 17:23:42.703 | INFO     | tabularbench.core.run_experiment:run_experiment:24 - Start experiment on banknote-authentication (id=10093) with AutoGluon doing classification
2024-08-09 17:23:42.708 | INFO     | tabularbench.core.run_experiment:run_experiment:27 - Set seed to 0
2024-08-09 17:23:42.708 | INFO     | tabularbench.core.run_experiment:run_experiment:29 - We are using the following hyperparameters:
2024-08-09 17:23:42.709 | INFO     | tabularbench.core.run_experiment:run_experiment:31 -     time_limit: 300
2024-08-09 17:23:42.709 | INFO     | tabularbench.core.run_experiment:run_experiment:31 -     num_cpus: 8
2024-08-09 17:23:42.766 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 1/10 of banknote-authentication (id=10093) with AUTOGLUON doing CLASSIFICATION
2024-08-09 17:28:42.680 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 17:29:30.680 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
2024-08-09 17:29:37.637 | INFO     | tabularbench.core.run_experiment:run_experiment_:84 - Testing on test...
2024-08-09 17:29:44.477 | INFO     | tabularbench.core.run_experiment:run_experiment_:87 - split_0 :: train: 1.0000, val: 1.0000, test: 1.0000
2024-08-09 17:29:44.494 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 2/10 of banknote-authentication (id=10093) with AUTOGLUON doing CLASSIFICATION
2024-08-09 17:34:47.729 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 17:35:14.033 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
2024-08-09 17:35:19.542 | INFO     | tabularbench.core.run_experiment:run_experiment_:84 - Testing on test...
2024-08-09 17:35:25.082 | INFO     | tabularbench.core.run_experiment:run_experiment_:87 - split_1 :: train: 0.9991, val: 1.0000, test: 1.0000
2024-08-09 17:35:25.098 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 3/10 of banknote-authentication (id=10093) with AUTOGLUON doing CLASSIFICATION
2024-08-09 17:40:24.346 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 17:40:38.394 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
2024-08-09 17:40:40.271 | INFO     | tabularbench.core.run_experiment:run_experiment_:84 - Testing on test...
2024-08-09 17:40:42.213 | INFO     | tabularbench.core.run_experiment:run_experiment_:87 - split_2 :: train: 1.0000, val: 1.0000, test: 1.0000
2024-08-09 17:40:42.231 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 4/10 of banknote-authentication (id=10093) with AUTOGLUON doing CLASSIFICATION
2024-08-09 17:45:47.506 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 17:46:02.218 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
2024-08-09 17:46:04.270 | INFO     | tabularbench.core.run_experiment:run_experiment_:84 - Testing on test...
2024-08-09 17:46:06.316 | INFO     | tabularbench.core.run_experiment:run_experiment_:87 - split_3 :: train: 1.0000, val: 1.0000, test: 1.0000
2024-08-09 17:46:06.333 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 5/10 of banknote-authentication (id=10093) with AUTOGLUON doing CLASSIFICATION
2024-08-09 17:51:10.114 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 17:52:01.282 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
2024-08-09 17:52:08.129 | INFO     | tabularbench.core.run_experiment:run_experiment_:84 - Testing on test...
2024-08-09 17:52:15.149 | INFO     | tabularbench.core.run_experiment:run_experiment_:87 - split_4 :: train: 1.0000, val: 1.0000, test: 1.0000
2024-08-09 17:52:15.165 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 6/10 of banknote-authentication (id=10093) with AUTOGLUON doing CLASSIFICATION
2024-08-09 17:57:17.368 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 17:58:05.864 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
2024-08-09 17:58:12.769 | INFO     | tabularbench.core.run_experiment:run_experiment_:84 - Testing on test...
2024-08-09 17:58:19.849 | INFO     | tabularbench.core.run_experiment:run_experiment_:87 - split_5 :: train: 1.0000, val: 1.0000, test: 1.0000
2024-08-09 17:58:19.865 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 7/10 of banknote-authentication (id=10093) with AUTOGLUON doing CLASSIFICATION
2024-08-09 18:03:21.681 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 18:04:11.632 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
