2024-08-03 11:24:48.809 | INFO     | tabularbench.core.run_experiment:run_experiment:24 - Start experiment on visualizing_environmental (id=3602) with AutoGluon doing classification
2024-08-03 11:24:48.811 | INFO     | tabularbench.core.run_experiment:run_experiment:27 - Set seed to 0
2024-08-03 11:24:48.811 | INFO     | tabularbench.core.run_experiment:run_experiment:29 - We are using the following hyperparameters:
2024-08-03 11:24:48.812 | INFO     | tabularbench.core.run_experiment:run_experiment:31 -     time_limit: 3600
2024-08-03 11:24:48.812 | INFO     | tabularbench.core.run_experiment:run_experiment:31 -     num_cpus: 8
2024-08-03 11:24:48.847 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 1/10 of visualizing_environmental (id=3602) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:24:55.917 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_0 :: train: 0.7614, val: 0.6364, test: 0.7500
2024-08-03 11:24:55.922 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 2/10 of visualizing_environmental (id=3602) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:25:02.565 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_1 :: train: 0.6629, val: 1.0000, test: 0.5455
2024-08-03 11:25:02.570 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 3/10 of visualizing_environmental (id=3602) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:25:09.406 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_2 :: train: 0.7416, val: 0.7273, test: 0.7273
2024-08-03 11:25:09.412 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 4/10 of visualizing_environmental (id=3602) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:25:15.421 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_3 :: train: 0.7416, val: 0.7273, test: 0.7273
2024-08-03 11:25:15.427 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 5/10 of visualizing_environmental (id=3602) with AUTOGLUON doing CLASSIFICATION
