2024-08-09 14:45:00.341 | INFO     | tabularbench.core.run_experiment:run_experiment:24 - Start experiment on visualizing_environmental (id=3602) with AutoGluon doing classification
2024-08-09 14:45:00.345 | INFO     | tabularbench.core.run_experiment:run_experiment:27 - Set seed to 0
2024-08-09 14:45:00.345 | INFO     | tabularbench.core.run_experiment:run_experiment:29 - We are using the following hyperparameters:
2024-08-09 14:45:00.346 | INFO     | tabularbench.core.run_experiment:run_experiment:31 -     time_limit: 300
2024-08-09 14:45:00.346 | INFO     | tabularbench.core.run_experiment:run_experiment:31 -     num_cpus: 8
2024-08-09 14:45:00.424 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 1/10 of visualizing_environmental (id=3602) with AUTOGLUON doing CLASSIFICATION
2024-08-09 14:49:59.971 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 14:50:06.688 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
2024-08-09 14:50:08.929 | INFO     | tabularbench.core.run_experiment:run_experiment_:84 - Testing on test...
2024-08-09 14:50:11.379 | INFO     | tabularbench.core.run_experiment:run_experiment_:87 - split_0 :: train: 0.7614, val: 0.5455, test: 0.6667
2024-08-09 14:50:11.388 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 2/10 of visualizing_environmental (id=3602) with AUTOGLUON doing CLASSIFICATION
2024-08-09 14:55:10.481 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 14:55:17.103 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
2024-08-09 14:55:20.042 | INFO     | tabularbench.core.run_experiment:run_experiment_:84 - Testing on test...
2024-08-09 14:55:22.876 | INFO     | tabularbench.core.run_experiment:run_experiment_:87 - split_1 :: train: 0.7753, val: 1.0000, test: 0.6364
2024-08-09 14:55:22.883 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 3/10 of visualizing_environmental (id=3602) with AUTOGLUON doing CLASSIFICATION
2024-08-09 15:00:26.518 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 15:01:21.769 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
2024-08-09 15:01:52.064 | INFO     | tabularbench.core.run_experiment:run_experiment_:84 - Testing on test...
2024-08-09 15:02:22.601 | INFO     | tabularbench.core.run_experiment:run_experiment_:87 - split_2 :: train: 0.7865, val: 0.8182, test: 0.8182
2024-08-09 15:02:22.613 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 4/10 of visualizing_environmental (id=3602) with AUTOGLUON doing CLASSIFICATION
2024-08-09 15:07:28.064 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 15:07:39.787 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
2024-08-09 15:07:44.031 | INFO     | tabularbench.core.run_experiment:run_experiment_:84 - Testing on test...
2024-08-09 15:07:48.244 | INFO     | tabularbench.core.run_experiment:run_experiment_:87 - split_3 :: train: 0.7416, val: 0.6364, test: 0.7273
2024-08-09 15:07:48.253 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 5/10 of visualizing_environmental (id=3602) with AUTOGLUON doing CLASSIFICATION
2024-08-09 15:12:51.509 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 15:13:36.919 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
2024-08-09 15:14:01.084 | INFO     | tabularbench.core.run_experiment:run_experiment_:84 - Testing on test...
2024-08-09 15:14:24.871 | INFO     | tabularbench.core.run_experiment:run_experiment_:87 - split_4 :: train: 0.7416, val: 0.7273, test: 0.5455
2024-08-09 15:14:24.879 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 6/10 of visualizing_environmental (id=3602) with AUTOGLUON doing CLASSIFICATION
2024-08-09 15:19:23.916 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 15:19:30.303 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
2024-08-09 15:19:32.885 | INFO     | tabularbench.core.run_experiment:run_experiment_:84 - Testing on test...
2024-08-09 15:19:35.335 | INFO     | tabularbench.core.run_experiment:run_experiment_:87 - split_5 :: train: 0.7640, val: 0.5455, test: 0.8182
2024-08-09 15:19:35.350 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 7/10 of visualizing_environmental (id=3602) with AUTOGLUON doing CLASSIFICATION
2024-08-09 15:24:41.064 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 15:24:48.139 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
2024-08-09 15:24:50.649 | INFO     | tabularbench.core.run_experiment:run_experiment_:84 - Testing on test...
2024-08-09 15:24:53.304 | INFO     | tabularbench.core.run_experiment:run_experiment_:87 - split_6 :: train: 0.7640, val: 0.5455, test: 0.5455
2024-08-09 15:24:53.313 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 8/10 of visualizing_environmental (id=3602) with AUTOGLUON doing CLASSIFICATION
2024-08-09 15:29:56.550 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 15:30:39.835 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
2024-08-09 15:31:03.121 | INFO     | tabularbench.core.run_experiment:run_experiment_:84 - Testing on test...
2024-08-09 15:31:26.043 | INFO     | tabularbench.core.run_experiment:run_experiment_:87 - split_7 :: train: 0.7978, val: 0.6364, test: 0.4545
2024-08-09 15:31:26.050 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 9/10 of visualizing_environmental (id=3602) with AUTOGLUON doing CLASSIFICATION
2024-08-09 15:36:32.232 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 15:36:42.507 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
2024-08-09 15:36:46.538 | INFO     | tabularbench.core.run_experiment:run_experiment_:84 - Testing on test...
2024-08-09 15:36:50.827 | INFO     | tabularbench.core.run_experiment:run_experiment_:87 - split_8 :: train: 0.7753, val: 0.8182, test: 0.6364
2024-08-09 15:36:50.835 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 10/10 of visualizing_environmental (id=3602) with AUTOGLUON doing CLASSIFICATION
2024-08-09 15:41:54.799 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 15:42:00.893 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
2024-08-09 15:42:03.266 | INFO     | tabularbench.core.run_experiment:run_experiment_:84 - Testing on test...
2024-08-09 15:42:05.604 | INFO     | tabularbench.core.run_experiment:run_experiment_:87 - split_9 :: train: 0.7273, val: 0.6667, test: 0.8182
2024-08-09 15:42:05.607 | INFO     | tabularbench.core.run_experiment:run_experiment:42 - Finished experiment on visualizing_environmental (id=3602) with AutoGluon doing CLASSIFICATION
2024-08-09 15:42:05.608 | INFO     | tabularbench.core.run_experiment:run_experiment:43 - Final scores: 
2024-08-09 15:42:05.610 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_0 :: train: 0.7614, val: 0.5455, test: 0.6667
2024-08-09 15:42:05.611 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_1 :: train: 0.7753, val: 1.0000, test: 0.6364
2024-08-09 15:42:05.613 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_2 :: train: 0.7865, val: 0.8182, test: 0.8182
2024-08-09 15:42:05.614 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_3 :: train: 0.7416, val: 0.6364, test: 0.7273
2024-08-09 15:42:05.616 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_4 :: train: 0.7416, val: 0.7273, test: 0.5455
2024-08-09 15:42:05.617 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_5 :: train: 0.7640, val: 0.5455, test: 0.8182
2024-08-09 15:42:05.619 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_6 :: train: 0.7640, val: 0.5455, test: 0.5455
2024-08-09 15:42:05.620 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_7 :: train: 0.7978, val: 0.6364, test: 0.4545
2024-08-09 15:42:05.622 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_8 :: train: 0.7753, val: 0.8182, test: 0.6364
2024-08-09 15:42:05.623 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_9 :: train: 0.7273, val: 0.6667, test: 0.8182
2024-08-09 15:42:05.626 | INFO     | tabularbench.core.run_experiment:run_experiment:53 - cv_average :: train: 0.7635, val: 0.6939, test: 0.6667
