,rank_min,rank_max,rank_mean,rank_median,acc_mean,acc_median
CatBoost,1.0,15.0,5.9,5.0,0.676,0.663
XGBoost,1.0,16.0,6.1,5.0,0.674,0.671
LightGBM,1.0,19.0,7.4,6.0,0.646,0.653
RandomForest,1.0,18.0,7.6,8.0,0.636,0.637
Resnet,1.0,19.0,8.1,8.0,0.602,0.613
NODE,1.0,19.0,8.1,8.5,0.611,0.596
SAINT,1.0,19.0,8.2,7.0,0.6,0.614
SVM,1.0,18.5,8.4,8.0,0.589,0.573
FT-Transformer,1.0,16.0,8.6,9.0,0.599,0.601
DANet,2.0,19.0,9.6,9.0,0.596,0.608
FoundationScratch,1.0,19.0,9.7,10.0,0.6,0.581
MLP-rtdl,1.0,19.0,11.2,11.0,0.514,0.527
STG,1.0,19.0,11.3,12.0,0.495,0.472
LinearRegression,1.0,19.0,12.2,13.75,0.459,0.431
MLP,1.0,19.0,12.4,14.0,0.475,0.417
TabNet,1.0,19.0,12.6,13.75,0.503,0.49
DecisionTree,1.0,19.0,13.2,14.0,0.413,0.372
KNN,2.5,19.0,13.8,15.0,0.399,0.372
VIME,1.0,19.0,15.7,17.0,0.295,0.221
