2024-08-03 11:27:55.788 | INFO     | tabularbench.core.run_experiment:run_experiment:24 - Start experiment on LED-display-domain-7digit (id=125921) with AutoGluon doing classification
2024-08-03 11:27:55.790 | INFO     | tabularbench.core.run_experiment:run_experiment:27 - Set seed to 0
2024-08-03 11:27:55.791 | INFO     | tabularbench.core.run_experiment:run_experiment:29 - We are using the following hyperparameters:
2024-08-03 11:27:55.791 | INFO     | tabularbench.core.run_experiment:run_experiment:31 -     time_limit: 3600
2024-08-03 11:27:55.791 | INFO     | tabularbench.core.run_experiment:run_experiment:31 -     num_cpus: 8
2024-08-03 11:27:55.832 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 1/10 of LED-display-domain-7digit (id=125921) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:28:09.771 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_0 :: train: 0.7475, val: 0.8200, test: 0.7400
2024-08-03 11:28:09.783 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 2/10 of LED-display-domain-7digit (id=125921) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:28:20.510 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_1 :: train: 0.7800, val: 0.6800, test: 0.8000
2024-08-03 11:28:20.521 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 3/10 of LED-display-domain-7digit (id=125921) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:28:32.250 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_2 :: train: 0.7850, val: 0.7000, test: 0.6800
2024-08-03 11:28:32.261 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 4/10 of LED-display-domain-7digit (id=125921) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:28:42.961 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_3 :: train: 0.7600, val: 0.7800, test: 0.7200
2024-08-03 11:28:42.972 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 5/10 of LED-display-domain-7digit (id=125921) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:28:53.295 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_4 :: train: 0.7550, val: 0.7400, test: 0.8600
2024-08-03 11:28:53.306 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 6/10 of LED-display-domain-7digit (id=125921) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:29:04.724 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_5 :: train: 0.7725, val: 0.6600, test: 0.6800
2024-08-03 11:29:04.735 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 7/10 of LED-display-domain-7digit (id=125921) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:29:16.288 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_6 :: train: 0.7800, val: 0.6800, test: 0.7600
2024-08-03 11:29:16.299 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 8/10 of LED-display-domain-7digit (id=125921) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:29:28.471 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_7 :: train: 0.7775, val: 0.6600, test: 0.6600
2024-08-03 11:29:28.483 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 9/10 of LED-display-domain-7digit (id=125921) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:29:39.544 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_8 :: train: 0.7725, val: 0.7600, test: 0.6200
2024-08-03 11:29:39.555 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 10/10 of LED-display-domain-7digit (id=125921) with AUTOGLUON doing CLASSIFICATION
