2024-08-09 08:15:06.055 | INFO     | tabularbench.core.run_experiment:run_experiment:24 - Start experiment on blood-transfusion-service-center (id=145836) with AutoGluon doing classification
2024-08-09 08:15:06.057 | INFO     | tabularbench.core.run_experiment:run_experiment:27 - Set seed to 0
2024-08-09 08:15:06.058 | INFO     | tabularbench.core.run_experiment:run_experiment:29 - We are using the following hyperparameters:
2024-08-09 08:15:06.058 | INFO     | tabularbench.core.run_experiment:run_experiment:31 -     time_limit: 300
2024-08-09 08:15:06.059 | INFO     | tabularbench.core.run_experiment:run_experiment:31 -     num_cpus: 8
2024-08-09 08:15:06.123 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 1/10 of blood-transfusion-service-center (id=145836) with AUTOGLUON doing CLASSIFICATION
2024-08-09 08:20:09.114 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 08:21:50.625 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
2024-08-09 08:22:21.354 | INFO     | tabularbench.core.run_experiment:run_experiment_:84 - Testing on test...
2024-08-09 08:22:52.508 | INFO     | tabularbench.core.run_experiment:run_experiment_:87 - split_0 :: train: 0.8127, val: 0.8000, test: 0.7600
2024-08-09 08:22:52.525 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 2/10 of blood-transfusion-service-center (id=145836) with AUTOGLUON doing CLASSIFICATION
2024-08-09 08:27:54.785 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 08:29:49.591 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
2024-08-09 08:30:23.567 | INFO     | tabularbench.core.run_experiment:run_experiment_:84 - Testing on test...
2024-08-09 08:30:56.279 | INFO     | tabularbench.core.run_experiment:run_experiment_:87 - split_1 :: train: 0.8027, val: 0.7600, test: 0.8000
2024-08-09 08:30:56.294 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 3/10 of blood-transfusion-service-center (id=145836) with AUTOGLUON doing CLASSIFICATION
2024-08-09 08:35:58.604 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 08:36:04.969 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
2024-08-09 08:36:07.247 | INFO     | tabularbench.core.run_experiment:run_experiment_:84 - Testing on test...
2024-08-09 08:36:09.477 | INFO     | tabularbench.core.run_experiment:run_experiment_:87 - split_2 :: train: 0.8077, val: 0.7600, test: 0.7467
2024-08-09 08:36:09.489 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 4/10 of blood-transfusion-service-center (id=145836) with AUTOGLUON doing CLASSIFICATION
2024-08-09 08:41:13.012 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
2024-08-09 08:41:20.073 | INFO     | tabularbench.core.run_experiment:run_experiment_:82 - Testing on validation...
2024-08-09 08:41:22.286 | INFO     | tabularbench.core.run_experiment:run_experiment_:84 - Testing on test...
2024-08-09 08:41:24.223 | INFO     | tabularbench.core.run_experiment:run_experiment_:87 - split_3 :: train: 0.8043, val: 0.8267, test: 0.7733
2024-08-09 08:41:24.234 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 5/10 of blood-transfusion-service-center (id=145836) with AUTOGLUON doing CLASSIFICATION
2024-08-09 08:46:23.450 | INFO     | tabularbench.core.run_experiment:run_experiment_:80 - Testing on training...
