2024-08-03 11:09:35.628 | INFO     | tabularbench.core.run_experiment:run_experiment:24 - Start experiment on blood-transfusion-service-center (id=10101) with AutoGluon doing classification
2024-08-03 11:09:35.630 | INFO     | tabularbench.core.run_experiment:run_experiment:27 - Set seed to 0
2024-08-03 11:09:35.630 | INFO     | tabularbench.core.run_experiment:run_experiment:29 - We are using the following hyperparameters:
2024-08-03 11:09:35.631 | INFO     | tabularbench.core.run_experiment:run_experiment:31 -     time_limit: 3600
2024-08-03 11:09:35.631 | INFO     | tabularbench.core.run_experiment:run_experiment:31 -     num_cpus: 8
2024-08-03 11:09:35.670 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 1/10 of blood-transfusion-service-center (id=10101) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:09:45.016 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_0 :: train: 0.8562, val: 0.7867, test: 0.7467
2024-08-03 11:09:45.026 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 2/10 of blood-transfusion-service-center (id=10101) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:09:53.110 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_1 :: train: 0.8261, val: 0.7467, test: 0.8000
2024-08-03 11:09:53.119 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 3/10 of blood-transfusion-service-center (id=10101) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:10:03.616 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_2 :: train: 0.8010, val: 0.7467, test: 0.7733
2024-08-03 11:10:03.626 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 4/10 of blood-transfusion-service-center (id=10101) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:10:13.012 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_3 :: train: 0.7926, val: 0.8000, test: 0.8000
2024-08-03 11:10:13.025 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 5/10 of blood-transfusion-service-center (id=10101) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:10:21.209 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_4 :: train: 0.7977, val: 0.8000, test: 0.7867
2024-08-03 11:10:21.219 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 6/10 of blood-transfusion-service-center (id=10101) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:10:28.958 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_5 :: train: 0.8060, val: 0.8000, test: 0.7867
2024-08-03 11:10:28.969 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 7/10 of blood-transfusion-service-center (id=10101) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:10:36.603 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_6 :: train: 0.8244, val: 0.7867, test: 0.7733
2024-08-03 11:10:36.612 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 8/10 of blood-transfusion-service-center (id=10101) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:10:44.818 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_7 :: train: 0.8097, val: 0.7703, test: 0.8000
2024-08-03 11:10:44.841 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 9/10 of blood-transfusion-service-center (id=10101) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:10:54.300 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_8 :: train: 0.8567, val: 0.7568, test: 0.8243
2024-08-03 11:10:54.316 | INFO     | tabularbench.core.run_experiment:run_experiment_:73 - Start split 10/10 of blood-transfusion-service-center (id=10101) with AUTOGLUON doing CLASSIFICATION
2024-08-03 11:11:01.943 | INFO     | tabularbench.core.run_experiment:run_experiment_:85 - split_9 :: train: 0.8063, val: 0.7467, test: 0.7703
2024-08-03 11:11:01.945 | INFO     | tabularbench.core.run_experiment:run_experiment:42 - Finished experiment on blood-transfusion-service-center (id=10101) with AutoGluon doing CLASSIFICATION
2024-08-03 11:11:01.945 | INFO     | tabularbench.core.run_experiment:run_experiment:43 - Final scores: 
2024-08-03 11:11:01.946 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_0 :: train: 0.8562, val: 0.7867, test: 0.7467
2024-08-03 11:11:01.948 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_1 :: train: 0.8261, val: 0.7467, test: 0.8000
2024-08-03 11:11:01.949 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_2 :: train: 0.8010, val: 0.7467, test: 0.7733
2024-08-03 11:11:01.950 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_3 :: train: 0.7926, val: 0.8000, test: 0.8000
2024-08-03 11:11:01.951 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_4 :: train: 0.7977, val: 0.8000, test: 0.7867
2024-08-03 11:11:01.952 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_5 :: train: 0.8060, val: 0.8000, test: 0.7867
2024-08-03 11:11:01.953 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_6 :: train: 0.8244, val: 0.7867, test: 0.7733
2024-08-03 11:11:01.954 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_7 :: train: 0.8097, val: 0.7703, test: 0.8000
2024-08-03 11:11:01.955 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_8 :: train: 0.8567, val: 0.7568, test: 0.8243
2024-08-03 11:11:01.956 | INFO     | tabularbench.core.run_experiment:run_experiment:46 - cv_split_9 :: train: 0.8063, val: 0.7467, test: 0.7703
2024-08-03 11:11:01.958 | INFO     | tabularbench.core.run_experiment:run_experiment:53 - cv_average :: train: 0.8177, val: 0.7740, test: 0.7861
